,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
153,Jeffersonia diphylla,"Twinleaf, Rheumatism Root",Perennial,0.2,5-8,S,LM,FS,M,0,2,
154,Jeffersonia dubia,Twinleaf,Perennial,0.3,4-8,S,LM,FS,M,0,2,0.0
155,Juglans microcarpa,"Texas Walnut, Little walnut, Stewart's little walnut",Tree,10.0,5-9,,LMH,N,M,2,0,3.0
156,Juniperus rigida,"Temple Juniper, Needle Juniper",Tree,8.0,6-7,S,LMH,N,DM,2,1,3.0
157,Kalopanax septemlobus,"Tree Aralia, Castor aralia",Tree,25.0,4-8,S,LMH,SN,M,2,1,2.0
158,Kinugasa japonica,Kinugasaso,Perennial,0.5,7-10,,LMH,SN,M,1,0,
159,Lactuca biennis,Tall Blue Lettuce,,0.0,-,,LMH,SN,M,0,1,
160,Larix laricina,"Tamarack, Hackmatack, American Larch",Tree,18.0,2-5,M,LM,N,MWe,2,2,3.0
161,Lavatera arborea,Tree Mallow,Biennial,3.0,-,F,LMH,N,DM,2,1,
162,Lavatera species,Tree Lavatera,Shrub,2.4,7-10,F,LMH,N,DM,2,0,
163,Leptospermum scoparium,"Tea Tree, Broom teatree, Manuka, New Zealand Tea Tree",Shrub,5.0,8-11,M,LMH,N,DM,3,0,3.0
164,Lilium lancifolium,"Tiger Lily, Devil Lily",Bulb,1.2,4-8,M,LMH,SN,M,4,2,
165,Lilium martagon,"Turk's Cap Lily, Martagon lily",Bulb,1.2,4-8,M,LMH,SN,M,2,1,
166,Linnaea borealis,"Twinflower, Longtube twinflower",Shrub,0.2,2-6,,LMH,FS,M,1,1,2.0
167,Liriodendron tulipifera,"Tulip Tree, Tulip Poplar, Yellow Poplar, Canary Whitewood",Tree,30.0,4-9,M,LMH,N,M,1,2,3.0
168,Lithocarpus densiflorus,Tanbark Oak,Tree,10.0,6-9,S,LMH,SN,M,2,1,2.0
169,Litsea calophylla,Tagutugan,Tree,15.0,10-12,M,LMH,N,M,3,0,3.0
170,Lonicera involucrata,"Twinberry, Twinberry honeysuckle",Shrub,1.2,4-8,M,LMH,N,M,2,2,2.0
171,Lonicera sempervirens,"Trumpet Honeysuckle, Coral Honeysuckle",Shrub,5.0,4-9,F,LMH,N,DM,0,1,
172,Lotus tetragonolobus,"Asparagus Pea, Winged pea",Annual,0.3,0-0,,LMH,N,DM,3,0,
173,Lupinus arboreus,"Tree Lupin, Yellow bush lupine",Shrub,1.5,7-10,F,LM,N,DM,0,0,5.0
174,Lycopersicon esculentum,Tomato,Annual,2.0,8-11,,LMH,N,M,4,3,1.0
175,Macadamia hildebrandii,Celebes nut,Tree,14.0,10-12,M,LMH,N,MWe,4,0,3.0
176,Mahonia swaseyi,"Texas Mahonia, Texas barberry",Shrub,2.5,7-10,,LMH,N,DM,3,2,
177,Malus toringo,Toringo crab,Tree,3.0,4-8,,LMH,SN,M,2,0,
178,Medicago polymorpha,"Toothed Bur-Clover, Burclover",Annual,0.6,0-0,,LM,N,DM,2,0,3.0
179,Melaleuca alternifolia,Tea Tree,Shrub,6.0,8-11,,LMH,N,M,0,5,3.0
180,Melaleuca hypericifolia,Tea Tree,Shrub,3.0,8-11,,LMH,SN,M,0,2,3.0
181,Melaleuca thymifolia,Thymeleaf melaleuca,Shrub,1.0,8-11,,LMH,N,M,0,2,3.0
182,Melilotus altissimus,"Tall Melilot, Tall yellow sweetclover",Biennial/Perennial,1.2,0-0,,LMH,SN,DM,2,0,1.0
183,Mertensia paniculata,"Tall bluebells, Alaska tall bluebells, Northern bluebells, Eastwood's bluebells",Perennial,0.8,4-8,,LMH,SN,MWe,1,0,
184,Morus microphylla,Texas Mulberry,Tree,6.0,5-9,,LMH,SN,M,2,0,2.0
185,Muscari comosum,"Tassel Hyacinth, Tassel grape hyacinth",Bulb,0.5,4-8,,LMH,SN,DM,3,1,2.0
186,Myoporum deserti,Turkey Bush,Shrub,3.0,-,,LMH,N,DM,1,0,
187,Nicotiana alata,"Tobacco, Jasmine tobacco, Nicotiana, Jasmine Tobacco, Ornamental Tobacco, Flowering Tobacco",Perennial,0.6,6-9,S,LMH,N,M,0,0,3.0
188,Nicotiana glauca,Tree Tobacco,Shrub,3.0,7-10,,LMH,N,M,1,2,3.0
189,Nicotiana tabacum,"Tobacco, Cultivated tobacco",Annual,1.2,7-10,,LMH,N,M,2,2,3.0
190,Nymphaea tuberosa,"Tuberous Water Lily, American white waterlily",Perennial,0.0,3-7,,LMH,N,Wa,3,3,
191,Ocotea kenyensis,"Transvaal stinkwood, stinkhout",Tree,20.0,10-12,F,LMH,N,M,0,2,4.0
192,Octomeles sumatrana,Ilimo Tree,Tree,50.0,10-12,F,MH,N,M,2,2,4.0
193,Opuntia imbricata,Tree Chola,Perennial,3.0,8-11,,LM,N,D,2,0,2.0
194,Opuntia macrorhiza,Twist-Spine Prickly Pear,Perennial,0.1,8-11,,LM,N,D,2,0,2.0
195,Pachycereus hollianus,"Baboso, Acompes",Perennial,4.0,9-11,M,LM,N,DM,0,0,3.0
196,Pachyphragma macrophylla,,Perennial,0.3,6-9,,LMH,FS,DM,1,0,3.0
197,Paeonia delavayi,"Tree Peony, Dian mu dan",Shrub,1.6,5-9,,LMH,SN,M,1,3,
198,Paeonia lutea,"Tree Peony, Dian mu dan",Shrub,1.5,6-9,,LMH,SN,M,1,3,
199,Paeonia ostii,Tree Peony,Shrub,1.5,6-9,,LMH,SN,M,1,2,
200,Paeonia potaninii,Tree Peony,Shrub,0.6,6-9,,LMH,SN,M,1,2,
201,Paeonia szechuanica,Tree Peony,Shrub,1.5,6-9,,LMH,SN,M,1,2,
202,Parinari curatellifolia,"Mbola, Grys Appel",Tree,15.0,10-12,S,MH,N,MWe,4,2,3.0
203,Passiflora mollisima,Banana Passion Fruit,Climber,5.0,5-9,F,LMH,N,M,3,0,
204,Persicaria odorata,"Vietnamese coriander, Asian mint",Perennial,0.2,9-11,F,LMH,SN,MWe,3,2,2.0
205,Petasites albus,Butterbur,Perennial,0.6,4-8,F,LMH,FSN,M,2,1,2.0
206,Phaseolus polystachios,Thicket Bean. Wild bean,Climber,3.0,6-10,F,LMH,SN,M,2,0,3.0
207,Phleum pratense,Timothy,Perennial,1.0,4-8,,LMH,SN,M,0,1,1.0
208,Phlomis tuberosa,Tuberous Jerusalem sage,Perennial,1.5,5-9,,LMH,N,DM,2,0,
209,Photinia serratifolia,"Taiwanese photinia , Chinese Photinia",Shrub,8.0,6-10,M,LMH,SN,M,0,1,2.0
210,Phyllocladus trichomanoides,"Tanekaha, Celery pine",Tree,8.0,8-11,S,LMH,SN,M,0,1,3.0
211,Physalis ixocarpa,Tomatillo,Annual,1.2,7-10,,LMH,SN,DM,4,0,
212,Pinus teocote,Twisted Leaf Pine,Tree,30.0,7-10,,LM,N,DM,1,2,3.0
213,Pistacia terebinthus,"Terebinth, Cyprus turpentine",Tree,9.0,8-11,S,LM,N,DM,2,2,2.0
214,Pittosporum eugenioides,Tarata,Tree,10.0,8-11,,LM,SN,DM,1,1,1.0
215,Pittosporum resiniferum,Petroleum nut,Tree,25.0,10-12,M,LMH,N,M,0,3,4.0
216,Pittosporum tenuifolium,Tawhiwhi,Tree,7.0,7-10,M,LM,SN,DM,2,0,3.0
217,Pittosporum tobira,"Tobira, Japanese cheesewood, Australian Laurel, Mock Orange, Japanese Pittosporum",Shrub,6.0,8-11,F,LM,SN,DM,0,0,3.0
218,Poa flabellata,Tussock grass,Perennial,2.0,0-0,,LMH,N,MWe,1,0,
219,Podocarpus alpinus,Tasmanian Podocarp,Shrub,2.0,6-9,S,LMH,SN,M,2,0,2.0
220,Podocarpus totara,Totara,Tree,30.0,8-11,S,LMH,SN,M,3,0,2.0
221,Polianthes tuberosa,Tuberose,Bulb,1.0,8-11,,LM,N,M,1,0,2.0
222,Populus 'Balsam Spire',Tacatricho 32,Tree,30.0,4-8,F,LMH,N,M,0,3,2.0
223,Potentilla erecta,"Tormentil, Erect cinquefoil",Perennial,0.3,4-8,,LMH,SN,M,1,3,1.0
224,Prosopis tamarugo,Tamarugo,Tree,12.0,10-12,F,LMH,N,DM,1,0,3.0
225,Prunus armeniaca mandschurica,Manchurian apricot,Tree,6.0,3-9,M,LM,SN,M,4,3,3.0
226,Prunus campanulata,Taiwan Cherry,Tree,7.0,7-9,M,LMH,SN,M,2,1,1.0
227,Prunus x yedoensis,Tokyo Cherry,Tree,9.0,4-8,,LMH,SN,M,2,1,1.0
228,Pseudosasa amabilis,Tonkin Bamboo,Bamboo,6.0,5-9,,LMH,FSN,M,0,0,1.0
229,Pueraria phaseoloides,Tropical Kudzu,Climber,0.0,10-12,F,LMH,N,M,2,1,4.0
230,Pueraria pseudohirsuta,Tropical kudzu,Climber,0.0,0-0,,LMH,N,M,3,3,
231,Quercus cerris,"Turkey Oak, European turkey oak",Tree,35.0,5-9,F,MH,SN,M,3,2,2.0
232,Raphia palma-pinus,Thatch palm,Tree,10.0,10-12,F,LMH,SN,MWe,0,2,4.0
233,Rheum palmatum,"Turkey Rhubarb, Chinese Rhubarb - Da Huang, Chinese rhubarb",Perennial,3.0,6-9,,MH,SN,M,3,5,2.0
234,Rheum tataricum,Tartarian Rhubarb,Perennial,0.5,-,,MH,SN,DM,2,0,
235,Rhus diversiloba,"Western Poison Oak, Pacific poison oak",Shrub,2.5,4-8,,LMH,N,M,0,2,2.0
236,Rhus succedanea,Wax Tree,Tree,9.0,4-9,,LMH,N,M,1,2,4.0
237,Ribes leptanthum,Trumpet Gooseberry,Shrub,1.0,5-9,,LMH,SN,M,2,0,
238,Ribes procumbens,Trailing red currant,Shrub,0.2,3-7,,LMH,SN,M,4,0,
239,Rosa x odorata,Tea Rose,Shrub,6.0,6-9,,LMH,SN,M,2,1,
240,Rubus odoratus,"Thimbleberry, Purpleflowering raspberry",Shrub,2.5,3-7,M,LMH,SN,M,3,2,3.0
241,Rubus parviflorus,Thimbleberry,Shrub,2.5,3-7,M,LMH,SN,M,3,3,3.0
242,Rubus pedatus,"Trailing Wild Raspberry, Strawberryleaf raspberry",Shrub,0.3,0-0,,LMH,SN,M,3,0,1.0
243,Rubus permixtus,thicket dewberry,Shrub,0.6,-,,LMH,SN,M,2,0,1.0
244,Rumex dentatus,toothed dock,Annual/Biennial,0.6,-,,LMH,SN,M,1,1,1.0
245,Salix pulchra,Tealeaf Willow,Shrub,1.0,-,,LMH,N,MWe,1,2,
246,Salsola collina,Tumbleweed. Slender Russian Thistle,Annual,1.0,0-0,,LM,N,DM,1,1,0.0
247,Salvia carduacea,Thistle Sage,Annual/Perennial,0.7,7-10,,LM,N,DM,2,0,
248,Samolus valerandi parviflorus,"Thin-Leaf Brookweed, seaside brookweed",Perennial,0.4,-,,LMH,N,MWeWa,1,0,
249,Sanicula tuberosa,Turkey Pea,Perennial,0.6,-,,LMH,SN,M,2,0,
250,Santalum austrocaledonicum,Pacific Sandalwood,Tree,10.0,10-12,S,LM,N,DM,0,1,4.0
251,Santalum yasi,"Yasi, Fijian Sandalwood, Brown Sandalwood",Tree,10.0,9-12,S,LM,N,DM,0,2,4.0
252,Sapium sebiferum,"Vegetable Tallow, Chinese tallow, Popcorn Tree, Chinese Tallow Tree",Tree,9.0,8-11,F,LMH,N,M,2,2,4.0
253,Saponaria ocymoides,"Tumbling Ted. Rock Soapwort, Rock soapwort",Perennial,0.1,2-7,F,LMH,N,DM,0,0,3.0
254,Satureja thymbra,Thyme-Leaved Savory,Shrub,0.4,6-9,,LMH,SN,M,2,2,3.0
255,Schoenoplectus californicus tatora,Totora,Perennial,2.0,6-10,F,LMH,SN,MWeWa,2,0,4.0
256,Scorzonera acanthoclada,Teke-Saghyz,Perennial,0.0,-,,LMH,N,DM,0,0,2.0
257,Scorzonera tau-saghyz,Tau-Saghyz,Perennial,0.0,-,,LMH,N,DM,0,0,2.0
258,Semiaquilegia adoxoides,Tian Kui,Perennial,0.3,5-9,,LMH,SN,M,0,2,
259,Sequoia sempervirens,"Coastal Redwood, Redwood, California Redwood, Coast Redwood",Tree,110.0,7-10,F,LMH,SN,M,0,1,4.0
260,Shorea obtusa,"Taengwood Balau, teng",Tree,20.0,10-12,M,LM,N,DM,0,2,4.0
261,Shorea quadrinervis,Light Red Meranti,Tree,30.0,10-12,M,LMH,N,DM,0,0,4.0
262,Silphium integrifolium,Prairie Rosinweed,Perennial,1.8,4-8,F,LMH,N,DM,3,1,2.0
263,Sisymbrium altissimum,"Tumble Mustard, Tall tumblemustard",Annual,1.0,0-0,,LMH,SN,DM,1,1,0.0
264,Smilax glabra,tufuling,Climber,3.0,-,,LMH,SN,M,2,3,
265,Solanum lycopersicum,"Tomato, Garden Tomato",Annual,2.0,10-12,F,LMH,N,M,5,3,3.0
266,Sorbus thibetica,Tibetan whitebeam,Tree,20.0,5-9,,LMH,SN,M,3,0,0.0
267,Spartina x townsendii,Townsend's Cord Grass,Perennial,1.2,0-0,,LMH,SN,MWe,0,0,2.0
268,Spiraea thunbergii,"Thunberg's meadowsweet, Thunberg Spirea",Shrub,1.5,4-8,M,LMH,SN,M,0,0,3.0
269,Stellaria jamesiana,tuber starwort,Perennial,0.5,4-9,,LMH,SN,M,3,0,0.0
270,Stephanomeria spinosa,Thorn Skeletonweed,Perennial,0.0,-,,LMH,SN,M,0,2,
271,Swartzia grandifolia,"Big leafed Swartzia, Coracao-de-Negro",Tree,15.0,10-12,M,LMH,N,M,0,0,4.0
272,Symphytum tuberosum,Tuberous comfrey,Perennial,0.6,4-8,F,LMH,SN,M,2,0,3.0
273,Syncarpia glomulifera,Turpentine Tree,Tree,30.0,-,,LMH,SN,M,0,0,3.0
274,Tabernaemontana hystrix,Tabernaemontana,Tree,5.0,10-12,F,LMH,N,M,0,0,4.0
275,Tachia guianensis,Tachia,Shrub,3.0,10-12,M,LMH,N,M,0,4,0.0
276,Tachigali rubiginosa,Tachigali,Tree,7.5,10-12,F,LMH,N,M,0,0,4.0
277,Tagetes erecta,"African Marigold, Aztec marigold, Big Marigold, American Marigold",Annual,1.0,2-11,M,LMH,N,DM,3,3,3.0
278,Tagetes micrantha,Licorice marigold,Annual,0.3,7-9,,LMH,N,DM,0,1,3.0
279,Tagetes minuta,Muster-John-Henry,Annual,1.2,8-11,,LMH,N,DM,2,2,3.0
280,Tagetes tenuifolia,"Lemon Marigold, Striped Mexican Marigold, Signet Marigold",Annual,0.8,2-11,M,LMH,N,DM,2,0,3.0
281,Talinum fruticosum,"Tahitian Spinach, Waterleaf, Ceylon Spinach",Perennial,0.5,8-11,F,LMH,SN,DM,3,2,1.0
282,Tamarindus indica,Tamarind,Tree,20.0,10-12,S,LMH,N,DM,4,3,3.0
283,Tamarix africana,African tamarisk,Tree,7.5,7-10,M,LMH,N,DM,0,0,3.0
284,Tamarix aphylla,Athel Tamarisk,Tree,10.0,7-10,M,LMH,N,DM,1,1,3.0
285,Tamarix canariensis,"Tamarisk, Canary Island tamarisk",Tree,0.0,7-10,M,LMH,N,DM,1,0,3.0
286,Tamarix chinensis,"Chinese Tamarisk, Five-stamen tamarisk",Shrub,4.5,6-9,M,LMH,N,DM,0,2,3.0
287,Tamarix ramosissima,"Tamarisk, Saltcedar",Shrub,4.5,2-9,M,LMH,N,DM,1,0,3.0
288,Tanacetum vulgare,"Tansy, Common tansy, Golden Buttons, Curly Leaf Tansy",Perennial,1.0,3-9,F,LMH,N,DM,2,2,4.0
289,Taraxacum brassicifolium,,Perennial,0.0,-,,LMH,SN,M,1,0,
290,Taraxacum kok-saghyz,Rubber Dandelion,Perennial,0.3,-,,LMH,SN,M,1,0,3.0
291,Taraxacum magellanicum,,Perennial,0.1,-,,LMH,SN,M,1,0,
292,Taraxacum pseudoalbidum,,Perennial,0.0,-,,LMH,SN,M,1,0,
293,Taraxacum tibetanum,,Perennial,0.0,-,,LMH,SN,M,1,2,
294,Tarchonanthus camphoratus,"Camphor Bush, Wild Camphor Bush",Tree,7.0,9-12,M,LMH,SN,DMWe,1,3,5.0
295,Taxus brevifolia,Pacific Yew,Tree,15.0,5-9,S,LMH,FSN,DM,3,4,3.0
296,Tectona grandis,Teak,Tree,30.0,10-12,F,LMH,N,M,2,2,5.0
297,Tellima grandiflora,"Fringe Cups, Bigflower tellima",Perennial,0.6,5-9,,LMH,SN,M,0,1,3.0
298,Terminalia catappa,"Indian Almond, Tropical Almond Tree",Tree,30.0,10-12,F,LM,N,M,4,2,3.0
299,Terminalia chebula,"Black Myrobalan, Chebulic Myroblan,",Tree,25.0,10-12,S,LMH,N,M,3,5,4.0
300,Terminalia kaernbachii,Okari Nut,Tree,20.0,10-12,F,LMH,N,M,5,0,2.0
301,Terminalia sambesiaca,,Tree,32.0,10-12,F,LMH,N,DM,0,4,3.0
302,Terminalia superba,Shinglewood,Tree,40.0,10-12,F,LMH,N,M,0,2,4.0
303,Ternstroemia japonica,,Shrub,3.5,8-11,,LMH,S,M,0,1,2.0
304,Tetragonia tetragonioides,New Zealand Spinach,Perennial,0.2,8-11,F,LM,N,DM,3,0,0.0
305,Teucrium chamaedrys,"Wall Germander, Germander",Shrub,0.3,5-9,S,LMH,SN,DM,1,2,3.0
306,Thalictrum collinum,Lesser meadow-rue,Perennial,0.0,0-0,,LMH,SN,M,0,1,
307,Thalictrum polycarpum,Meadowrue,Perennial,1.8,-,,LMH,SN,M,0,1,1.0
308,Thalictrum simplex galioides,,Perennial,1.0,6-9,,LMH,SN,M,0,1,
309,Thapsia garganica,Drias Plant,Perennial,1.2,8-11,,LM,N,DM,0,2,1.0
310,Thaspium trifoliatum,"Woodland parsnip, Thaspium",Perennial,1.2,4-9,F,LMH,SN,DM,0,0,2.0
311,Thelesperma megapotamicum,Navajo Tea,Perennial,0.5,-,,LMH,N,DM,1,1,1.0
312,Theobroma glaucum,,Tree,12.0,10-12,M,MH,S,M,4,3,2.0
313,Thermopsis lupinoides,,Perennial,0.3,3-7,,LM,N,DM,1,1,
314,Thespesia populneoides,Tulip Tree; Portia Tree; Pacific Rosewood,Tree,10.0,10-12,F,LMH,N,DM,3,3,4.0
315,Thuja plicata,"Western Red Cedar, Giant Arborvitae, Giant Cedar, Incense Cedar, Western Red Cedar",Tree,60.0,5-8,F,LMH,SN,MWe,1,2,5.0
316,Thujopsis dolabrata,Hiba,Tree,20.0,-,S,LMH,SN,M,0,0,2.0
317,Thymus pannonicus,Eurasian thyme,Perennial,0.2,4-8,,LM,N,DM,2,2,2.0
318,Thymus praecox arcticus,Wild Thyme,Shrub,0.1,4-8,,LM,N,DM,3,2,5.0
319,Thymus pseudolanuginosus,Woolly Thyme,Shrub,0.1,3-9,M,LM,N,DM,2,2,2.0
320,Thymus quinquecostatus,,Shrub,0.1,4-8,,LM,N,DM,2,2,2.0
321,Thymus serpyllum,Wild Thyme,Shrub,0.1,5-9,M,LM,N,DM,4,3,5.0
322,Thymus x citriodorus,"Lemon Thyme, Creeping Lemon Thyme, Lemon-Scented Thyme",Shrub,0.1,5-10,M,LM,N,DM,4,2,5.0
323,Thymus zygis,,Shrub,0.3,6-9,,LM,N,DM,2,2,2.0
324,Thysanotus patersonii,Twining Fringed Lily,Perennial Climber,1.0,-,,LM,N,DM,1,0,
325,Tigridia pavonia,Tiger Flower,Corm,0.6,7-10,,LM,N,DM,3,1,
326,Tilia caroliniana,Carolina Basswood,Tree,20.0,6-9,M,LMH,SN,M,3,1,2.0
327,Tilia cordata,"Small Leaved Lime, Littleleaf linden",Tree,30.0,3-7,M,LMH,SN,M,5,3,3.0
328,Tilia heterophylla,"White Basswood, American basswood",Tree,30.0,4-8,M,LMH,SN,M,3,2,3.0
329,Tilia oliveri,,Tree,15.0,5-9,M,LMH,SN,M,3,1,1.0
330,Tilia platyphyllos,"Large Leaved Lime, Largeleaf linden, Bigleaf Linden",Tree,30.0,4-6,M,LMH,SN,M,5,3,4.0
331,Tilia tomentosa,Silver Lime,Tree,25.0,4-7,M,LMH,SN,DM,3,1,2.0
332,Tilia x europaea,"Linden, Common Lime",Tree,35.0,3-9,M,LMH,SN,M,5,3,3.0
333,Tolmiea menziesii,"Youth On Age, Mother-of-Thousands Plant, Youth on Age Plant, Pickaback Plant",Perennial,0.6,7-9,M,LMH,FS,DM,1,1,3.0
334,Torilis japonica,"Upright Hedge Parsley, Erect hedgeparsley",Annual,1.0,0-0,,LMH,SN,DM,2,1,
335,Torreya californica,California Nutmeg,Tree,15.0,6-9,S,LMH,FSN,M,3,1,2.0
336,Torreya nucifera,"Kaya, Japanese torreya",Tree,20.0,6-8,S,LMH,FS,M,5,2,
337,Trachelospermum asiaticum,"Japanese Star Jasmine, Small Leaf Confederate Jasmine, Asiatic Jasmine",Climber,6.0,7-10,S,LMH,SN,M,1,0,3.0
338,Trachomitum scabrum,"Kendry, Rough Kendry",Perennial,2.0,4-9,F,LMH,N,M,0,0,4.0
339,Trachycarpus fortunei,"Chusan Palm, Chinese windmill palm, Windmill Palm",Tree,12.0,8-11,S,LMH,SN,M,2,2,2.0
340,Trachyspermum ammi,Ajowan caraway,Annual,0.6,-,,LMH,N,M,2,3,2.0
341,Tradescantia virginiana,"Spiderwort, Virginia spiderwort",Perennial,0.4,4-9,M,LMH,SN,DM,2,1,
342,Tragopogon cupani,,Biennial,0.8,-,,LMH,N,M,2,0,
343,Tragopogon dubius,Yellow Salsify,Annual/Perennial,1.0,4-8,,LMH,N,M,3,0,0.0
344,Tragopogon porrifolius,Salsify,Biennial,0.6,4-8,,LMH,N,M,3,2,
345,Trapa bicornis,"Ling, Horn nut",Perennial,0.0,4-8,,LMH,N,Wa,4,1,
346,Trichilia dregeana,Cape Mahogany,Tree,25.0,10-12,F,LMH,SN,M,4,3,3.0
347,Trichilia emetica,"Banket mahogany, Natal mahogany,",Tree,15.0,10-12,F,LMH,SN,DM,2,3,3.0
348,Trichosanthes cucumerina anguina,Snake Gourd,Annual Climber,5.0,10-12,F,LMH,N,M,2,1,0.0
349,Trichosanthes kirilowii,Chinese Cucumber,Perennial Climber,6.0,8-11,F,LMH,N,M,2,4,1.0
350,Trichosanthes kirilowii japonica,,Perennial Climber,6.0,8-11,F,LMH,N,M,3,3,1.0
351,Trichosanthes ovigera,Japanese Snake Gourd,Perennial Climber,0.0,9-11,F,LMH,N,M,2,2,1.0
352,Tricyrtis hirta,"Toad Lily, Japanese Toad Lily",Perennial,0.8,5-9,S,LM,SN,M,1,0,
353,Tricyrtis latifolia,,Perennial,0.6,4-8,,LM,SN,M,1,0,
354,Tricyrtis macropoda,,Perennial,0.7,4-8,,LM,SN,M,1,0,
355,Trifolium ciliatum,Foothill Clover,Annual,0.5,0-0,,LMH,N,M,2,0,3.0
356,Trifolium dichotomum,Branched Indian Clover,Annual,0.6,0-0,,LMH,N,M,2,0,2.0
357,Trifolium dubium,Suckling Clover,Annual,0.5,0-0,,LMH,N,M,0,1,3.0
358,Trifolium fimbriatum,"Springbank Clover, Cows clover",Perennial,1.0,0-0,,LMH,N,M,3,0,2.0
359,Trifolium fucatum,"Sour Clover, Bull clover",Annual,0.6,0-0,,LMH,N,M,2,0,2.0
360,Trifolium fucatum virescens,,Annual,0.6,0-0,,LMH,N,M,2,0,2.0
361,Trifolium hybridum,Alsike Clover,Perennial,0.6,0-0,,LMH,N,M,2,1,2.0
362,Trifolium incarnatum,Crimson Clover,Annual,0.5,3-9,M,LMH,N,M,2,0,4.0
363,Trifolium obtusiflorum,Clammy Clover,Annual,1.0,0-0,,LMH,N,M,2,0,2.0
364,Trifolium repens,"White Clover, Dutch Clover, Purple Dutch Clover, Shamrock, White Clover",Perennial,0.1,4-8,M,LMH,N,M,3,2,4.0
365,Trifolium tridentatum,Tomcat Clover,Annual,0.6,0-0,,LMH,N,M,2,0,2.0
366,Triglochin maritima,Sea Arrow Grass,Perennial,0.6,4-8,,LMH,N,WeWa,2,0,1.0
367,Triglochin palustris,Marsh Arrow Grass,Perennial,0.5,4-8,,LMH,N,WeWa,2,0,
368,Trigonotis radicans,,Perennial,0.2,-,,LMH,SN,M,1,0,
369,Trillium sessile,Toadshade,Perennial,0.4,4-8,,LMH,FSN,M,2,1,
370,Triphasia trifolia,Lime Berry,Shrub,3.0,9-12,,LMH,N,DM,2,1,4.0
371,Tripterygium wilfordii,,Climber,12.0,8-11,,LMH,SN,M,0,2,1.0
372,Trisetum spicatum,Spike Trisetum,Perennial,0.3,-,,LMH,N,M,1,0,
373,Triticosecale spp,Triticale,Annual,1.0,-,,LMH,N,DM,3,0,
374,Triticum aestivum,"Bread Wheat, Common wheat",Annual,1.5,10-12,,LMH,N,M,4,2,2.0
375,Triticum georgicum,,Annual,0.0,-,,LMH,N,M,2,0,3.0
376,Triticum monococcum aegilopoides,Wild Einkorn,Annual,1.0,-,,LMH,N,M,2,0,3.0
377,Triticum turgidum carthlicum,Persian Wheat,Annual,0.0,-,,LMH,N,M,2,0,3.0
378,Triticum turgidum turanicum,Khurasan Wheat,Annual,1.2,-,,LMH,N,M,2,0,3.0
379,Tritonia crocata,,Corm,0.5,8-11,,LMH,N,M,1,0,
380,Tropaeolum leptophyllum,,Perennial Climber,1.5,7-10,,LM,N,M,2,0,
381,Tsuga heterophylla,Western Hemlock,Tree,70.0,6-7,F,LMH,FSN,M,1,2,2.0
382,Tulipa clusiana stellata,,Bulb,0.2,-,,LM,N,M,1,0,
383,Tulipa edulis,,Bulb,0.2,6-9,S,LM,N,M,2,2,
384,Tulipa gesneriana,"Tulip, Didier's tulip",Bulb,0.5,4-8,,LM,N,M,1,0,2.0
385,Tulipa montana,,Bulb,0.1,5-9,S,LM,N,M,1,0,
386,Tulipa sylvestris,wild tulip,Bulb,0.3,4-8,,LMH,SN,M,0,0,
387,Turnera diffusa aphrodisiaca,Damiana,Shrub,1.0,8-11,,LMH,N,D,1,3,
388,Turritis glabra,Tower Cress,Annual/Biennial,0.6,6-9,,LMH,FSN,M,1,1,
389,Typha domingensis,Southern Cattail,Perennial,3.0,5-12,,LMH,N,WeWa,4,3,3.0
390,Typha elephantina,"Bora. Elephant grass, Indian reed-mace.",Perennial,3.0,10-12,F,LMH,SN,MWeWa,3,3,3.0
391,Typha orientalis,Broadleaf Cumbungi,Perennial,3.0,-,F,LMH,N,WeWa,4,3,2.0
392,Valeriana ciliata,Tobacco Root,Perennial,0.8,-,,LMH,N,M,1,0,
393,Valeriana obovata,Tobacco Root,Perennial,1.2,-,,LMH,N,M,2,1,
394,Vateria indica,White Dammar,Tree,40.0,10-12,S,LM,FSN,M,3,2,4.0
395,Vernicia fordii,"Tung Tree, Tung Nut",Tree,7.0,8-11,M,LMH,S,DM,1,3,4.0
396,Viburnum setigerum,"Tea-Leaf Viburnum, Tea viburnum",Shrub,3.5,5-7,M,LMH,SN,M,2,0,
397,Vicia cracca,"Tufted Vetch, Bird vetch, Cow vetch",Perennial Climber,1.8,4-8,,LMH,SN,M,1,1,3.0
398,Vicia faba minuta,Tick Bean,Annual,1.0,4-8,F,LMH,SN,M,3,0,3.0
399,Vicia unijuga,Two-Leaf Vetch,Perennial,0.5,6-9,,LMH,SN,M,1,0,3.0
400,Viola biflora,"Twoflower Violet, Arctic yellow violet, Carlott's violet",Perennial,0.2,0-0,,LMH,S,M,3,1,1.0
401,Yucca rupicola,"Twisted-Leaf Yucca, Texas yucca",Shrub,0.6,8-11,,LMH,SN,DM,2,0,2.0
402,Zanthoxylum americanum,"Prickly Ash - Northern, Common pricklyash, Northern Prickly Ash",Shrub,4.0,3-7,M,LMH,SN,M,2,3,2.0
403,Zizia aptera,"Meadow zizia, Golden alexanders",Perennial,0.6,4-8,F,LMH,SN,DM,0,1,2.0
1,Aletris farinosa,"Unicorn Root - Colic Root, White colicroot",Perennial,0.6,6-9,,LM,N,M,1,3,
